uniqueID,clinicalResourceName,serviceType,serviceTypeOtherInfo,address,city,state,zipCode,googleMapsLink,siteOnBusRoute,busRoute,phoneNum1,phoneNumInfo,phoneNum1Verified,phoneNum2,phoneNum2Info,phoneNum2Verified,website,email,otherContactInfo,monday,mondayOpenTime,mondayCloseTime,tuesday,tuesdayOpenTime,tuesdayCloseTime,wednesday,wednesdayOpenTime,wednesdayCloseTime,thursday,thursdayOpenTime,thursdayCloseTime,friday,fridayOpenTime,fridayCloseTime,saturday,saturdayOpenTime,saturdayCloseTime,sunday,sundayOpenTime,sundayCloseTime,otherHoursInfo,servicesProvided,eligibilityCriteriaAll,eligibilityCriteriaUninsured,eligibilityCriteriaIncomeDocumentation,eligibilityCriteriaTennCare,eligibilityCriteriaPrivateInsurance,otherEligibilityCriteriaInfo,feesSlidingScale,feesMinimumPayment,feesOtherInfo,languageEnglish,languageSpanish,languageOther,languageOtherInfo,otherTags,otherNotes,imgURL
103_MercyMinistriesfemales, Mercy Ministries (females)       ,"Counseling, Behavior, Drug & Alcohol Recovery",Life Skills; Nutrition and Fitness; Financial Management; ,15328 Old Hickory Blvd,Nashville,TN,37211,"https://www.google.com/maps/place/Mercy+Ministries/@36.043466,-86.727045,17z/data=!3m1!4b1!4m2!3m1!1s0x8864701dc2a5a105:0x5e5710fc342c3117",No,,(615) 831-6987,ext 1236 for the Medical Department ,Yes,,,,http://www.mercyministries.org/,info@mercyministries.com,Fax: 1-(615)-315-9749,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Closed,,,Closed,,,Phone is available 24/7,Life Skills Training; Bible Classes; Financial Management; Nutrition Education; Fitness Education; Health Education ,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Women only, 13-28yo; no legal issues",Unchecked,Unchecked,Free ,Checked,Checked,Unchecked,,Christian; women's health; counseling; rehab; ,,http://www.thecoffeebump.com/blog/wp-content/uploads/2011/11/mercy_ministries.jpg; http://3.bp.blogspot.com/_nmxQqDUjXGw/TFcVpThQ2YI/AAAAAAAAB4I/J_TgMjcrLhQ/s1600/MercyMinistriesTeam.jpg; http://www.mercyministries.ca/files/5913/5926/1507/home_slide_1.jpg
247_TennesseeHemophiliaandBleedingDisordersFoundation, Tennessee Hemophilia and Bleeding Disorders Foundation    ,Support groups,Support groups,1819 Ward Drive Suite #102,Murfreesboro ,TN,37129,"https://www.google.com/maps/place/1819+Ward+Rd,+Madison,+TN+37115/@36.2566994,-86.6853334,17z/data=!3m1!4b1!4m2!3m1!1s0x8864424bbf74a56f:0x6bdd5e5eaa982f64",No,,(615) 900-1486,main phone,Yes,(888) 703-3269,consumer hotline,Yes,http://www.thbdf.org/,yolanda@thbdf.org,teresa@thbdf.org,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,,,,,,,,"Info, referral, support and case management, social events, programs",Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,,Checked,Unchecked,Unchecked,,hemophilia; bleeding disorder; bleeding; abnormal bleeding; service; support group; counseling; events,,
1_AntiochHighSchoolClinicUNHS,Antioch High School Clinic (UNHS) ,Medical Care Clinic,,1900 Hobson Pike,Antioch,TN,37013,"https://www.google.com/maps/place/1900+Hobson+Pike,+Antioch,+TN+37013/@36.0462375,-86.5987733,17z/data=!3m1!4b1!4m2!3m1!1s0x88646d5e7f7333c5:0x2b7b27e38ac2ac8d",No,,(615) 620-8647,General UNHS Phone Number,Yes,,,,http://www.unitedneighborhood.org/school_programs.php,,(615) 471-5064,Open,7:30,16:00,Open,7:30,16:00,Open,7:30,16:00,Open,7:30,16:00,Open,7:30,16:00,,,,,,,,Services: Primary care for Metro Student,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Checked,Unchecked,,Checked,Checked,Unchecked,,,,http://www.alignmentnashville.org/images/57t.jpg;   
105_OasisCenterforTeens, Oasis Center for Teens           ,Family Services,Youth services,"1704 Charlotte Ave, Suite 200      ",Nashville,TN,37203,"https://www.google.com/maps/preview?q=1704+Charlotte+Ave,+Suite+200+Nashville,+TN+37203&oe=utf-8&client=firefox-a&ie=UTF8&hq=&hnear=1704+Charlotte+Ave,+Nashville,+Davidson,+Tennessee+37203&gl=us&ll=36.159706,-86.799545&spn=0.020789,0.051413&z=14&source=embed",No,,(615) 327-4455,,Yes,(866) 975-3733,24 Hour Crisis Line,Yes,https://www.oasiscenter.org/#home,,Fax #: 615-329-1444,Open,0:00,23:59,Open,0:00,23:59,Open,0:00,23:59,Open,0:00,23:59,Open,0:00,23:59,Open,0:00,23:59,Open,0:00,23:59,Residential services; hotlines open 24-hours per day,"- Emergency Youth Shelter- The only residential shelter in Nashville for teens (ages 13 - 17) who have runaway or are homeless. The Emergency Youth Shelter is a two week therapeutic program that provides young people in crisis a place of respite, support, and healing. For over 40 years, this program has demonstrated incredible success helping a young person stabilize emotionally and socially so that they can successfully reunite with their families.    - Counseling - Oasis Center's counseling services are offered on a sliding fee scale to the public. Counseling services are provided free of charge to all Oasis clients in our residential and outreach programs.    - College preparation and advising: http://www.oasiscollegeconnection.org/    - Bike Workshop: a free, six week program open to Nashville's youth, and thanks to our friends at Humana, it is housed in a beautiful new workshop at the Youth Opportunity Center.    - Building Bridges: youth leadership development programs      - Just Us: LGBT support and advocacy    - R.E.A.L Program & The Right Turn: youth intervention programs for teens caught in the Juvenile Justice system      ",Checked,Unchecked,Unchecked,Unchecked,Unchecked,Emergency Youth Shelter available for teens age 13-17,Unchecked,Unchecked,Counseling services:  Oasis Center's counseling services are offered on a sliding fee scale to the public. Counseling services are provided free of charge to all Oasis clients in our residential and outreach programs.,Unchecked,Unchecked,Unchecked,,youth services; counseling; emergency shelter; leadership development; College preparation; LGBT,,http://missions.fpcnashville.org/files/2012/06/Oasis-Center.jpg; https://www.oasiscenter.org/wp-content/uploads/2011/01/NEW-901x1024.png; 
186_MadisonStation, FiftyForward Madison Station                        ,Other,"Social Activities, Fitness and Education for Adults 50+","	 301 Madison Street	",Madison,TN,37115,,No,,(615) 860-7180,Main Office,Yes,,,,www.fiftyforward.org,kmahaffey@fiftyforward.org,,Open,7:30,4:30,Open,7:30,4:30,Open,7:30,4:30,Open,7:30,4:30,Open,7:30,3:30,,,,,,,The Fitness Center stays open until 6:30 Monday-Thursday.,"Offering arts, crafts, recreational, social, health & wellness and educational programs. Full Fitness Center. Travel and case management. Transportation available to and from center w/in 4 mile radius.  Congregate site for Metro Nutrition.",Checked,Unchecked,Unchecked,Unchecked,Unchecked,Serving Adults 50+,Checked,Unchecked,"$10 per month membership dues, with sliding scale available.",Checked,Unchecked,Unchecked,,,"Established in 1956, FiftyForward enriches the lives of adults 50+ by providing pathways to health, well-being and lifelong learning.",www.fiftyforward.org
117_EastNashvilleCooperativeMinistry, East Nashville Cooperative Ministry ,Food Resources,Access to clothing,807 Main St,Nashville,TN,37206,"https://www.google.com/maps/place/807+Main+St,+Nashville,+TN+37206/@36.175868,-86.758372,17z/data=!3m1!4b1!4m2!3m1!1s0x88646634cceacb01:0x8f8fda2e401e4ff7",Yes,"26, 30, 56",(615) 244-7312,Main St location,Yes,(615) 262-5531,Inglewood location,Yes,http://encm.org,info@encm.org,Executive Director-Alan Murdock  alan@encm.org  615 243 5499  ,,,,,,,,,,,,,,,,,,,,,,,"Community/Urban gardens    Serve two meals a day, 6 days a week (including Saturdays)",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,,Unchecked,Unchecked,Unchecked,,,"Still to verify: fees, languages, hours",
149_SudaneseCommunityCenter,Nashville International Center for Empowerment (NICE)     ,Immigrant Resources,"Health, Education, Employment, and Immigration services","417 Welshwood Drive, Ste. 100",Nashville,TN,37211,"https://www.google.com/maps/place/417+Welshwood+Dr+%23100,+Nashville,+TN+37211/@36.081899,-86.729654,17z/data=!3m1!4b1!4m2!3m1!1s0x88646f9b7202b405:0xc3406d787ccbeafd",Yes,,(615) 315-9681,Main agency phone number,Yes,,,,http://www.empowernashville.org/,pr@empowernashville.org,,Open,9:00,17:00,Open,9:00,17:00,Open,9:00,17:00,Open,9:00,17:00,Open,9:00,17:00,Closed,,,Closed,,,Many of our educational services are offered in the evening as well as during the day.  Our health services have some weekend hours.,"Medical Screening, Fitness Classes, Healthy Cooking classes, Wellness Partners; Employment services; adult and youth education; refugee resettlement; immigration services; refugee integration services.",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Immigrants and refugees,Unchecked,Unchecked,"There is no charge for our health program. But, we do charge small fees for some education classes. In addition, we charge small fees for our immigration services.",Checked,Checked,Checked,Arabic; Kurdish; Nepali; Burmese; Karen; Chin,immigrant resources; immigrant; refugee; resettlement; bilingual; immigrant health; immigrant health education,,
8_FaithFamilyMedicalClinic,Faith Family Medical Center,Medical Care Clinic,"Wellness, counseling",326 21st Ave N. (main office)  ,Nashville,TN,37203,"https://www.google.com/maps/place/Faith+Family+Medical+Center/@36.155633,-86.804655,17z/data=!3m1!4b1!4m2!3m1!1s0x886466bf7dfdabcf:0x9b471f75ae5c5b2d?hl=en",Yes,"25, 3",(615) 341-0808,"Contact office for information on becoming a patient or making appointments for established patients. Contact  Laura Hobson, president for other information (including requesting a speaker, setting up a tour of the clinic, or donating).",Yes,(615) 649-3048,"Contact Volunteer and Student Coordinator, Hontas Lowrance for information on becoming a volunteer.",Yes,http://www.faithmedical.org/,jsouthards@faithmedical.org,(615) 341-0808   www.faithmedical.org,Open,7:30,17:00,Open,7:30,17:00,Open,7:30,16:00,Open,7:30,17:00,Open,7:30,16:00,Closed,,,Closed,,,"Open at Woodbine office - 3016 Nolensville Pk, Nashville, TN 37211 from 8-12 on Saturdays","Family Medicine  Diagnostic lab testing  Physical Therapy  Individual and/or family counseling  We also have relationships with imaging centers where basic X-rays, CAT scans and MRIs can be done for a reduced fee  ",Unchecked,Checked,Unchecked,Unchecked,Unchecked,"Individuals must not have any form of health insurance (including TennCare, Cover Kids, Medicare or Medicaid)  Individuals must be either working at least 20 hours per week OR be receiving unemployment benefits OR be a fulltime student  Spouse and dependents are also eligible for care   ",Checked,Unchecked,"Patients pay between $20 and $50 per visit based on their income and number of dependents  We are a nonprofit organization.  Patient fees cover only a small portion of our yearly budget; the balance is provided by grants and private donations from caring individuals, foundations, churches and businesses",Checked,Checked,Unchecked,,,"3016 Nolensville Road, Nashville, TN 37211 (Woodbine office)",http://www.nashvillesongwriters.com/files/image/faith_family.jpg
7_EastNashvillePublicHealthCenter,East Nashville Public Health Center,Medical Care Clinic,,1015 E. Trinity Lane,Nashville,TN,37216,"http://www.google.com/maps/preview?ll=36.205039,-86.745181&z=14&t=m&hl=en-US&gl=US&mapclient=embed&q=1015+E+Trinity+Ln+Nashville,+TN+37216",Yes,"26, 56 (East Hill Station)",(615) 862-7916,,Yes,,,,http://www.health.nashville.gov/CH/ch_preventive.htm,,(615) 862-7916 ,Open,7:00,16:30,Open,7:00,16:30,Open,7:00,19:00,Open,7:00,16:30,Open,7:00,16:30,Closed,,,Closed,,,"sign in before 3:30 pm, on W sign in before 5:00 pm.    ","Services:immunizations, family planning, pregnancy testing and referral, nutrition services, food vouchers for expectant mothers and young children",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,Fees:Sliding scale,Checked,Checked,Unchecked,,,"Stil to be verified: Fees, Services Provided",
101_MaternalInfantHealthOutreachWorkersMIHOW,Maternal Infant Health Outreach Worker (MIHOW) Program,Family Services,Pregnant women and families with children age 0-3,"Vanderbilt MIHOW Main Office  1400 18th Ave. South, A-1  Nashville, TN 37212    ",Nashville,TN,37212,"https://maps.google.com/maps/ms?msa=0&msid=204013460877353909334.0004bb396752bddc94066&ie=UTF8&t=m&ll=36.494182,-86.756287&spn=0.730844,1.153564&z=9&vpsrc=6&iwloc=0004f9c4f4e8acd7c99ae&f=d&daddr=The+MIHOW+Program+%4036.140454,-86.79563&dg=feature",Yes,Depends on location of services,(615) 343-4513,"Chrystal Fizer, MIHOW Administrative Assistant",Yes,(615) 322-4184,"Tonya Elkins, MIHOW Director",Yes,http://www.mihow.org/index.php,mihow@vanderbilt.edu,"Tonya Elkins, MIHOW Director  tonya.j.elkins@vanderbilt.edu   Phone: 615-322-4184    Chrystal Fizer, MIHOW Administrative Assistant  chrystal.fizer@vanderbilt.edu   Phone: 615-343-4513",,,,,,,,,,,,,,,,,,,,,,Hours may vary based on location,Outreach workers who do in-home education and support of new mothers; pregnancy support groups,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"MIHOW is open to any pregnant women and her family regardless of insurance status, immigration status or income level.   ",Unchecked,Unchecked,No fees related to program,Checked,Checked,Unchecked,,,"Multiple locations/sites providing services:     Catholic Charities   3112 Nolensville Pike  Nashville, TN 37211  (615) 445-8310    Bethlehem FRC   Lead Agency: Bethlehem Centers of Nashville  1417 Charlotte Avenue  Nashville, TN 37203  (615) 329-3386  Extension 119    McGruder FRC   Lead Agency: Matthew Walker Comprehensive Health Center  2013 25th Avenue North  Nashville, TN 37208  (615) 242-4681    Salvation Army FRC (The Salvation Army)  611 Stockell Street  Nashville, TN 37207  (615) 255-0554    St. Luke's FRC   Lead Agency: St. Luke's Community House  5601 New York Avenue  Nashville, TN 37209  (615) 350-7893    Bordeaux/Northwest FRC   at Bordeaux Enhanced Elementary School  Lead Agency: PENCIL Foundation  1910 South Hamilton Road  Nashville, TN 37218  (615) 291-6355 Extension 101    Napier FRC   at Napier Elementary  Lead Agency: Family & Children's Service  60 Fairfield Avenue  Nashville, TN 37210  (615) 291-6400 Extension 655376",
